MMC
0.58
0.705
0.725
0.785
0.82
0.84
0.84
0.85
0.845
0.86
0.865
0.85
0.855
0.86
0.855
0.85
0.86
0.86
0.865
0.865
0.875
0.885
0.885
0.885
0.885
0.885
0.895
0.895
0.895
0.9
0.895
0.895
0.895
0.895
0.895
0.895
0.895
0.895
0.88
0.885
0.88
0.885
0.885
0.885
0.88
0.875
0.875
0.875
0.88
0.88
0.88
0.88
0.885
0.885
0.88
0.885
0.88
0.885
0.885
0.885
0.885
0.885
0.885
0.885
0.885
0.885
0.885
