LDA_sk
0.63
0.705
0.705
0.775
0.81
0.81
0.815
0.825
0.825
0.84
0.85
0.855
0.86
0.86
0.86
0.86
0.86
0.865
0.865
0.87
0.87
0.86
0.87
0.875
0.875
0.875
0.875
0.88
0.88
0.88
0.88
0.875
0.87
0.87
0.87
0.88
0.88
0.88
0.88
0.88
0.88
0.88
0.88
0.88
0.88
0.88
0.88
0.88
0.88
0.88
0.88
0.88
0.88
0.88
0.88
0.88
0.88
0.88
0.88
0.88
0.88
0.88
0.88
0.88
0.88
0.88
0.88
