PCA
0.475
0.58
0.635
0.735
0.775
0.8
0.815
0.83
0.825
0.82
0.855
0.855
0.855
0.865
0.85
0.87
0.855
0.865
0.875
0.87
0.875
0.875
0.87
0.88
0.88
0.885
0.89
0.885
0.885
0.885
0.88
0.88
0.88
0.88
0.88
0.88
0.885
0.885
0.885
0.895
0.89
0.885
0.895
0.895
0.895
0.89
0.895
0.89
0.89
0.89
0.895
0.885
0.89
0.895
0.895
0.89
0.89
0.885
0.905
0.89
0.885
0.89
0.895
0.89
0.895
0.895
0.885
