MDP_kk
0.4375
0.6
0.725
0.8625
0.9
0.9
0.925
0.925
0.925
0.9375
0.9125
0.925
0.925
0.925
0.9375
0.9375
0.9375
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.9375
0.9375
0.9375
0.9625
0.95
0.95
0.95
0.9625
0.9625
0.975
0.975
0.975
0.9625
0.975
0.9625
0.975
0.9625
0.975
0.975
0.975
0.975
0.975
0.975
0.975
0.975
0.975
0.975
0.975
0.975
0.975
0.975
0.975
0.975
0.975
0.975
0.975
0.975
0.975
0.975
0.975
