LDA
0.57
0.685
0.76
0.785
0.815
0.83
0.845
0.85
0.85
0.86
0.88
0.875
0.87
0.87
0.87
0.865
0.87
0.875
0.865
0.875
0.875
0.86
0.865
0.86
0.87
0.865
0.86
0.88
0.885
0.9
0.885
0.885
0.89
0.875
0.885
0.88
0.875
