MFA
0.465
0.555
0.665
0.76
0.8
0.815
0.81
0.82
0.82
0.83
0.855
0.85
0.855
0.87
0.875
0.87
0.87
0.88
0.88
0.885
0.88
0.885
0.89
0.895
0.89
0.895
0.89
0.89
0.895
0.895
0.895
0.895
0.895
0.9
0.895
0.895
0.9
0.91
0.905
0.9
0.905
0.9
0.9
0.895
0.895
0.9
0.9
0.9
0.9
0.9
0.905
0.9
0.895
0.9
0.9
0.9
0.9
0.89
0.89
0.885
0.885
0.89
0.89
0.89
0.885
0.885
0.885
