MDP_kk
0.525
0.63
0.675
0.75
0.795
0.825
0.83
0.84
0.865
0.86
0.87
0.87
0.875
0.88
0.875
0.885
0.885
0.88
0.88
0.88
0.88
0.88
0.89
0.895
0.9
0.885
0.9
0.9
0.9
0.915
0.905
0.905
0.9
0.91
0.91
0.91
0.91
0.91
0.91
0.91
0.91
0.91
0.91
0.91
0.905
0.91
0.91
0.91
0.9
0.905
0.9
0.905
0.9
0.9
0.905
0.905
0.905
0.905
0.905
0.9
0.91
0.91
0.905
0.9
0.905
0.9
0.9
