MDP
0.6375
0.775
0.85
0.8875
0.925
0.925
0.95
0.9375
0.95
0.9625
0.95
0.95
0.95
0.95
0.9625
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.9625
0.9375
0.9375
0.9625
0.9375
0.9375
0.9375
0.9375
0.9375
0.9375
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.95
