LDA
0.7875
0.8375
0.925
0.925
0.925
0.9375
0.9625
0.975
0.9625
0.9625
0.975
0.9625
0.9625
0.975
0.9625
0.9625
0.9625
0.9625
0.95
0.9375
0.9375
0.9375
0.9375
0.9375
0.95
0.95
0.9375
0.9375
0.9625
0.9625
0.95
0.95
0.9375
0.9375
0.9375
0.9375
0.95
0.95
0.95
0.95
0.9375
0.925
0.925
0.925
0.925
0.925
0.9375
0.9375
0.9375
0.9375
0.9375
0.9375
0.9375
0.9375
0.9375
0.9375
0.9375
0.9375
0.9375
0.9375
0.9375
0.9375
0.9375
0.95
0.95
0.95
0.95
