MDP
0.55
0.665
0.675
0.77
0.835
0.835
0.845
0.83
0.85
0.87
0.87
0.865
0.88
0.87
0.89
0.89
0.895
0.89
0.89
0.895
0.895
0.9
0.895
0.88
0.88
0.885
0.885
0.885
0.88
0.885
0.885
0.885
0.89
0.89
0.885
0.89
0.89
0.89
0.89
0.885
0.885
0.89
0.885
0.89
0.885
0.885
0.89
0.89
0.89
0.89
0.89
0.885
0.89
0.89
0.895
0.895
0.895
0.895
0.885
0.895
0.895
0.895
0.895
0.895
0.885
0.885
0.89
