LDA
0.725
0.85
0.925
0.875
0.925
0.925
0.925
0.9
0.925
0.925
0.925
0.925
0.95
0.975
0.95
0.95
0.95
0.95
0.925
0.925
0.95
0.95
0.95
0.95
0.975
0.975
0.975
0.975
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.925
0.95
0.925
0.925
0.925
0.925
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.95
0.925
0.925
0.925
0.925
0.925
0.925
0.925
